PersonalityType;Profile;Group;Description;;;Color;;;;
INTJ_A;Architect;Analyst;Imaginative and strategic thinkers, with a plan for everything.;;;Red;;;;
INTP_A;Logician;Analyst;Innovative inventors with an unquenchable thirst for knowledge.;;;Red;;;;
ENTJ_A;Commander;Analyst;Bold, imaginative and strong-willed leaders, always finding a way  or making one.;;;Red;;;;
ENTP_A;Debater;Analyst;Smart and curious thinkers who cannot resist an intellectual challenge.;;;Red;;;;
INTJ_T;Architect;Analyst;Imaginative and strategic thinkers, with a plan for everything.;;;Red;;;;
INTP_T;Logician;Analyst;Innovative inventors with an unquenchable thirst for knowledge.;;;Red;;;;
ENTJ_T;Commander;Analyst;Bold, imaginative and strong-willed leaders, always finding a way  or making one.;;;Red;;;;
ENTP_T;Debater;Analyst;Smart and curious thinkers who cannot resist an intellectual challenge.;;;Red;;;;
INFJ_A;Advocate;Diplomat;Quiet and mystical, yet very inspiring and tireless idealists.;;;Blue;;;;
INFP_A;Mediator;Diplomat;Poetic, kind and altruistic people, always eager to help a good cause.;;;Blue;;;;
ENFJ_A;Protagonist;Diplomat;Charismatic and inspiring leaders, able to mesmerize their listeners.;;;Blue;;;;
ENFP_A;Campaigner;Diplomat;Enthusiastic, creative and sociable free spirits, who can always find a reason to smile.;;;Blue;;;;
INFJ_T;Advocate;Diplomat;Quiet and mystical, yet very inspiring and tireless idealists.;;;Blue;;;;
INFP_T;Mediator;Diplomat;Poetic, kind and altruistic people, always eager to help a good cause.;;;Blue;;;;
ENFJ_T;Protagonist;Diplomat;Charismatic and inspiring leaders, able to mesmerize their listeners.;;;Blue;;;;
ENFP_T;Campaigner;Diplomat;Enthusiastic, creative and sociable free spirits, who can always find a reason to smile.;;;Blue;;;;
ISTJ_A;Logistician;Sentinel;Practical and fact-minded individuals, whose reliability cannot be doubted.;;;Green;;;;
ISFJ_A;Defender;Sentinel;Very dedicated and warm protectors, always ready to defend their loved ones.;;;Green;;;;
ESTJ_A;Executive;Sentinel;Excellent administrators, unsurpassed at managing things  or people.;;;Green;;;;
ESFJ_A;Consul;Sentinel;Extraordinarily caring, social and popular people, always eager to help.;;;Green;;;;
ISTJ_T;Logistician;Sentinel;Practical and fact-minded individuals, whose reliability cannot be doubted.;;;Green;;;;
ISFJ_T;Defender;Sentinel;Very dedicated and warm protectors, always ready to defend their loved ones.;;;Green;;;;
ESTJ_T;Executive;Sentinel;Excellent administrators, unsurpassed at managing things  or people.;;;Green;;;;
ESFJ_T;Consul;Sentinel;Extraordinarily caring, social and popular people, always eager to help.;;;Green;;;;
ISTP_A;Virtuoso;Explorers;Bold and practical experimenters, masters of all kinds of tools.;;;Yellow;;;;
ISFP_A;Adventurer;Explorers;Flexible and charming artists, always ready to explore and experience something new.;;;Yellow;;;;
ESTP_A;Entrepreneur;Explorers;Smart, energetic and very perceptive people, who truly enjoy living on the edge.;;;Yellow;;;;
ESFP_A;Entertainer;Explorers;Spontaneous, energetic and enthusiastic people life is never boring around them.;;;Yellow;;;;
ISTP_T;Virtuoso;Explorers;Bold and practical experimenters, masters of all kinds of tools.;;;Yellow;;;;
ISFP_T;Adventurer;Explorers;Flexible and charming artists, always ready to explore and experience something new.;;;Yellow;;;;
ESTP_T;Entrepreneur;Explorers;Smart, energetic and very perceptive people, who truly enjoy living on the edge.;;;Yellow;;;;
ESFP_T;Entertainer;Explorers;Spontaneous, energetic and enthusiastic people life is never boring around them.;;;Yellow;;;;